id,title,score_badge,score_text,score_subtext,thumbnail,site,full_address,full_description,room
1,潭心閣民宿,9.3,好極了,128 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/248248255.jpg?k=547a2e9d7776035f3df1026556dbf7a5f4f7d6d1578126d3edbb7353df5320ba,https://www.booking.com/hotel/tw/tan-xin-ge-hualien-county1.zh-tw.html,花蓮縣池南村林園路3之1號,"預訂潭心閣民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
Tan Xin Ge Homestay 位在池南村，設有花園，提供 WiFi（免費），距離花蓮市 16 公里。館內提供私人停車位。
每個房型都設有私人衛浴和淋浴設施、空調、平面電視以及冰箱。
Tan Xin Ge Homestay 的住客可以享用歐陸式早餐。
這間住宿有露台。
Tan Xin Ge Homestay 提供腳踏車租借服務。住客可以在附近騎自行車。
最近的機場是花蓮機場，距離 Tan Xin Ge Homestay 16 公里。",豪華雙人房、舒適四人房、園景四人房
2,谷築石苑,9.8,傑出,26 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/285373197.jpg?k=47d6239c135e6bb3e49c32fa24bb84aa32324c1b84ef8a1582e3303a66a832e7,https://www.booking.com/hotel/tw/gu-zhu-shi-yuan.zh-tw.html,"花蓮縣豐裡村No. 62, Ren'ai Street","預訂谷築石苑可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
谷築石苑距離豐田文史館 200 公尺，有共用休息室和花園，為了旅客的方便還提供客房服務。住宿全館提供 WiFi（免費）和館內提供私人停車位。
所有房型都有戶外休息區、空調、平面電視，以及私人衛浴，並提供淋浴設施和拖鞋。住宿也提供冰箱和電熱水壺。
谷築石苑的住客可以享用單點式早餐。
住宿館內提供露台。住客可以在這間住宿附近騎自行車。
谷築石苑距離豐田移民村 500 公尺。最近的機場是花蓮機場，距離谷築石苑 23 公里。",山景雙人房、舒適四人房
3,後山城寶民宿,9.5,傑出,184 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/273394082.jpg?k=53c608382f50780bb0f43fd54d463cfd2c9484af794789e529f09adce9628d6e,https://www.booking.com/hotel/tw/hou-shan-cheng-bao-min-su.zh-tw.html,花蓮縣順安村草林112-16號,"預訂後山城寶民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
Taroko Mountain View B&B 位於順安村，享有園景，設有餐廳、共用休息室、花園和露台。住宿全館提供 WiFi（免費）。
所有房型均提供空調、平面電視、洗衣機和電熱水壺。
Taroko Mountain View B&B 每天早上提供歐陸式和單點式早餐兩種選擇。
如果住客想探索該地區，可以在附近地區健行。這間住宿可以安排租車服務。
Taroko Mountain View B&B 距離 Manbo Beach 700 公尺。最近的機場是花蓮機場，距離 Taroko Mountain View B&B 11 公里。這間住宿提供免費機場接駁服務。",標準雙人房、四人房、家庭房－附私人衛浴、標準雙人房、家庭房－附私人衛浴、標準雙人房、標準雙人房
4,日日好時光民宿,8.7,很棒,184 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/197773114.jpg?k=87a621d276f0eb03c05086d476d98342bdb7695d3940004b497535b6fb8e8c5d,https://www.booking.com/hotel/tw/ri-ri-hao-shi-guang-min-su.zh-tw.html,花蓮縣光復鄉中正路一段26號,"預訂日日好時光民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
It's a Good Time Homestay 位於光復鄉，設有共用休息室和 WiFi（免費），距離大農大富平地森林園區 7 公里，距離富源國家森林遊樂區 14 公里。
最近的機場是花蓮機場，距離 It's a Good Time Homestay 44 公里。",標準雙人房、三人房、四人房、標準雙人房、日式四人房
5,走過虹橋民宿,9.2,好極了,404 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/155030210.jpg?k=ebe8efa5c1eee703b4eebab2c6534c4fad2d0b100adaa91c35dffd1cccac3f63,https://www.booking.com/hotel/tw/zou-guo-hong-qiao.zh-tw.html,花蓮縣崇德村崇德村崇德210號,"預訂走過虹橋民宿可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
走過虹橋民宿位於秀林鄉，提供覆蓋公共區的免費有線網路連接和內部免費私人停車場。
民宿距離新城火車站和太魯閣國家公園約 3 分鐘車程，距離清水懸崖約 5 分鐘車程，距離七星潭約 20 分鐘車程，距離花​​蓮機場有 30 分鐘車程。
每間客房都舖有硬木地板，並提供空調和平面電視。私人衛浴配有淋浴設施或浴缸，另備有吹風機。房內其他設施包括沙發、桌子和床單。
走過虹橋民宿設有觀光旅遊櫃檯和花園。民宿亦可應要求提供行李寄存、乾洗和旅遊安排等服務，另提供接送服務。",加大雙人床房、四人房、露天熱水按摩池套房（4 位成人）
6,花蓮梅匠民宿,8.7,很棒,44 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/68669900.jpg?k=ef2055f1705a696a92e3d52e9b1c6396a5ae069ce37c84024dd56954156f80d2,https://www.booking.com/hotel/tw/hua-lian-mei-jiang-min-su.zh-tw.html,花蓮縣志學村志新街123號,"MerJiang B&B 位在志學村，設有花園，提供 WiFi（免費），距離花蓮市 12 公里。館內提供私人停車位。
每個房型都設有私人衛浴和淋浴設施、空調、平面電視以及冰箱。
住客可以在附近騎自行車。
最近的機場是花蓮機場，距離 MerJiang B&B 15 公里。",園景雙人房、園景四人房、豪華雙人房－附浴缸、奢華四人房、山景特大雙人床房
7,花蓮雲朵朵民宿 有電梯,9.4,好極了,56 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/322679248.jpg?k=3957b27683baca3a9c26916a4cbaa098d36c5f847ffb700d0bd08408b7f57f1b,https://www.booking.com/hotel/tw/hua-lian-yun-duo-duo-min-su-hua-lian-xian-ji-an-xiang.zh-tw.html,"花蓮縣吉安No.169, Nanhai 8th St.,","預訂花蓮雲朵朵民宿 有電梯可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
花蓮雲朵朵民宿距離蔚藍海岸 2.3 公里；距離花蓮遠雄海洋公園 7 公里，設有公共休息區、露台、陽台和免費 WiFi。
客房設有戶外休憩區、空調、平面電視以及附淋浴和吹風機的私人衛浴。
民宿提供租車服務。
民宿距離知卡宣森林公園 1.4 公里，距離阿美文化村 3.7 公里。最近的機場是花蓮機場，距離 9 公里，館內提供須額外付費的機場接駁服務。",四人房－附陽台、加大雙人床房－附陽台、雙人或雙床房－附私人衛浴
8,發現樹湖民宿 Tree Lake B&B Hualien,9.1,好極了,158 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/280860971.jpg?k=1e46d7c5ba9dcbc4f9f3f3f2e9966f902ea6f7006337f124611375e49fbd95af,https://www.booking.com/hotel/tw/fa-xian-shu-hu-min-su.zh-tw.html,"花蓮縣樹湖村No. 1, Dahujiao","預訂發現樹湖民宿 Tree Lake B&B Hualien可享 Genius 折扣！只要登入，預訂此住宿即可省一筆。
樹湖民宿提供免費自行車租賃服務，館內提供寬敞的山景客房及免費 WiFi。民宿坐落在花東縱谷國家風景區內，距離兆豐農場有 5 公里。
民宿距離新光兆豐休閒農場有 8 分鐘的車程，距離鯉魚潭有 20 分鐘車程。民宿提供自花蓮火車站發車的付費接駁服務，車程約需 30 分鐘。距離太魯閣國家公園有 1 小時車程。
客房均裝有空調，並設有陽台及露台，房內配有電視、附沙發的休息區及戶外用餐區，並附設私人衛浴。所有客房均配有熱水浴缸。
館內設有花園及露台。民宿可為客人規劃騎自行車、登山健行及划獨木舟等各式活動。客人可於遊戲間使用娛樂設施，或至共用休息室交友談天。",豪華雙人房、高級雙人房、園景四人房、加大雙人床房－附陽台、奢華四人房
9,晨曦森林民宿,9.2,好極了,173 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/176388889.jpg?k=f473244352d5c3117d96101b86b477674235605ebade37180c20cb98c55cbff7,https://www.booking.com/hotel/tw/chen-xi-sen-lin-min-su.zh-tw.html,花蓮縣鳳林鎮平信路101號,"Sunrise Forest 位於鳳林鎮，設有餐廳，提供 WiFi（免費），距離花蓮市 36 公里。館內提供私人停車位。
所有房型都有戶外休息區、空調、平面電視，以及私人衛浴，並提供淋浴設施和拖鞋。每個房型都設有享園景的陽台。
Sunrise Forest 每個早上供應美式早餐。
這間住宿有露台。
住客還可以在花園內或共用休息室放鬆身心。
最近的機場是花蓮機場，距離 Sunrise Forest 36 公里。",加大雙人床房－附陽台、山景四人房
10,雲山水88Villa民宿,9.4,好極了,277 則評語,https://cf.bstatic.com/xdata/images/hotel/square600/228061279.jpg?k=3b76b0a53b2d9494d5156b907d3bea2b36e39aae85d908723b3958011309f168,https://www.booking.com/hotel/tw/yun-shan-shui-88villamin-su.zh-tw.html,花蓮縣豐坪村豐坪路2段2巷201弄88號,"Villa 88 位於豐坪村，設有共用休息室，提供 WiFi（免費），距離花蓮市 22 公里。館內提供私人停車位。
所有房型都有戶外休息區、空調、平面電視，以及私人衛浴，並提供熱水按摩池和吹風機。每個房型都設有享湖景的陽台。
Villa 88 每天早上供應美式早餐。
這間住宿設有花園和陽光露台，天氣合適時可供住客使用。
最近的機場是花蓮機場，距離 Villa 88 24 公里。",湖景四人房、湖景特大雙人床房、湖景特大雙人床房、湖景四人房、湖景四人房
